                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73798,                0.76031,                 1.0346,                 0.8742,                0.92161,                0.92736,                0.71319,                0.79263,                0.98139,                 1.0118,             0.00084162,             0.00084162,             0.00084162
                     36,                 0.6856,                0.72994,                 1.0026,                0.93072,                0.92403,                0.94206,                0.74354,                0.80678,                0.87805,                 1.0411,             0.00082925,             0.00082925,             0.00082925
                     37,                0.72426,                0.70867,                 1.0007,                0.94624,                  0.881,                0.93262,                0.73603,                0.83574,                0.89288,                 1.0512,             0.00081688,             0.00081688,             0.00081688
                     38,                0.71761,                0.72815,                 1.0311,                0.91424,                0.89579,                0.92801,                0.74988,                0.79968,                0.92479,                 1.0046,              0.0008045,              0.0008045,              0.0008045
                     39,                0.70647,                0.69014,                0.99678,                0.88689,                0.92822,                0.93593,                0.76105,                 0.7785,                 0.9383,                 1.0111,             0.00079213,             0.00079213,             0.00079213
                     40,                0.69253,                0.70711,                 1.0067,                0.89128,                0.92751,                 0.9463,                0.76156,                0.77065,                0.93017,                  1.005,             0.00077975,             0.00077975,             0.00077975
                     41,                0.68796,                0.71781,                  1.009,                 0.9393,                0.86004,                 0.9413,                0.75863,                0.74677,                0.94573,                0.97994,             0.00076738,             0.00076738,             0.00076738
                     42,                0.69142,                0.67433,                  1.004,                0.89692,                0.90889,                0.93622,                0.74845,                0.76545,                0.99105,                 0.9903,               0.000755,               0.000755,               0.000755
                     43,                0.67791,                0.68089,                0.98047,                 0.9361,                0.87783,                0.92588,                0.73429,                0.76899,                 0.9908,                0.97388,             0.00074263,             0.00074263,             0.00074263
                     44,                0.66193,                0.66829,                0.96997,                0.90149,                0.90215,                0.94204,                0.76753,                0.75011,                0.90758,                0.94859,             0.00073025,             0.00073025,             0.00073025
                     45,                0.65515,                0.66347,                0.97503,                0.92472,                0.88374,                 0.9417,                0.75762,                0.73673,                 0.8895,                0.94955,             0.00071788,             0.00071788,             0.00071788
                     46,                0.65956,                0.66296,                0.97318,                0.92789,                0.88453,                0.94089,                0.76372,                0.72126,                0.92897,                0.95574,              0.0007055,              0.0007055,              0.0007055
                     47,                0.63777,                0.61765,                0.97321,                0.91179,                0.89796,                0.94887,                0.75904,                0.75662,                0.92885,                 0.9719,             0.00069313,             0.00069313,             0.00069313
                     48,                0.66522,                0.63601,                  0.987,                0.90717,                0.89172,                0.95055,                0.76849,                0.75306,                 0.9201,                0.97637,             0.00068075,             0.00068075,             0.00068075
                     49,                0.64352,                 0.6109,                0.94884,                0.94147,                0.84022,                0.94316,                0.75634,                0.71123,                0.93887,                 0.9498,             0.00066838,             0.00066838,             0.00066838
                     50,                0.64665,                0.63533,                0.97574,                0.94859,                0.84484,                0.94266,                0.74836,                0.73686,                0.93593,                0.96048,               0.000656,               0.000656,               0.000656
                     51,                0.64116,                0.62132,                0.96964,                0.85215,                0.92676,                0.94506,                0.75607,                 0.7692,                0.92472,                0.99278,             0.00064362,             0.00064362,             0.00064362
                     52,                0.63304,                 0.6075,                 0.9702,                 0.9395,                0.89227,                0.95448,                0.77577,                0.73419,                0.83777,                0.96822,             0.00063125,             0.00063125,             0.00063125
                     53,                0.62025,                0.62152,                0.98847,                0.95955,                  0.886,                 0.9575,                0.78071,                0.73619,                0.85856,                0.97221,             0.00061887,             0.00061887,             0.00061887
                     54,                0.59077,                0.60909,                 0.9661,                0.93388,                0.93121,                0.95515,                0.77122,                0.74955,                0.90722,                0.98508,              0.0006065,              0.0006065,              0.0006065
                     55,                0.65776,                0.62655,                0.98497,                0.95315,                0.90027,                0.95736,                0.77785,                0.74869,                0.92969,                0.97845,             0.00059413,             0.00059413,             0.00059413
                     56,                0.62513,                0.62083,                0.98999,                0.94946,                 0.8954,                0.94891,                0.78112,                0.73437,                0.91963,                0.96248,             0.00058175,             0.00058175,             0.00058175
                     57,                0.59787,                 0.5803,                0.94595,                0.93429,                0.90187,                0.94829,                0.76626,                0.74869,                  0.881,                0.95224,             0.00056938,             0.00056938,             0.00056938
                     58,                0.60067,                0.58115,                 0.9385,                0.93657,                0.89885,                0.94931,                0.76644,                0.74772,                0.86095,                0.95446,               0.000557,               0.000557,               0.000557
                     59,                 0.6125,                0.57562,                0.95581,                0.88199,                 0.9097,                0.94443,                0.76277,                0.73435,                0.86744,                0.94776,             0.00054463,             0.00054463,             0.00054463
                     60,                0.61536,                0.57538,                0.97611,                0.92195,                0.90799,                0.94457,                0.76693,                0.72209,                0.87159,                0.95427,             0.00053225,             0.00053225,             0.00053225
                     61,                 0.6225,                0.59133,                 0.9722,                0.92072,                0.90049,                0.94789,                0.77032,                0.72999,                0.85968,                0.97011,             0.00051988,             0.00051988,             0.00051988
                     62,                0.61294,                0.57257,                0.95783,                0.94598,                0.88423,                0.94629,                 0.7745,                0.72608,                0.84259,                0.97169,              0.0005075,              0.0005075,              0.0005075
                     63,                0.58229,                0.54546,                0.93039,                0.90818,                0.91606,                0.94345,                0.77604,                 0.6972,                0.82591,                0.94723,             0.00049513,             0.00049513,             0.00049513
                     64,                0.59095,                0.55634,                0.96062,                0.91791,                0.90091,                0.94213,                0.77913,                0.68395,                0.82032,                0.94051,             0.00048275,             0.00048275,             0.00048275
                     65,                0.61117,                0.56935,                 0.9579,                0.93147,                0.93193,                0.94959,                 0.7863,                0.68536,                0.77428,                0.93701,             0.00047038,             0.00047038,             0.00047038
                     66,                0.61792,                 0.5694,                0.94579,                0.93854,                0.91015,                0.94622,                 0.7835,                0.69155,                0.77133,                0.94122,               0.000458,               0.000458,               0.000458
                     67,                0.59889,                0.54082,                0.94323,                0.93046,                0.92838,                 0.9497,                0.78597,                0.68911,                0.77358,                0.93368,             0.00044563,             0.00044563,             0.00044563
                     68,                0.59535,                0.54948,                0.94566,                0.92257,                 0.9223,                0.95142,                0.78387,                0.66103,                0.80444,                0.92656,             0.00043325,             0.00043325,             0.00043325
                     69,                 0.5908,                0.55287,                0.95147,                0.92079,                0.91961,                0.94988,                0.78121,                0.66956,                0.81468,                 0.9349,             0.00042087,             0.00042087,             0.00042087
                     70,                0.56764,                0.51543,                0.91427,                0.91018,                0.91846,                0.94699,                0.76124,                0.69156,                 0.8458,                0.94508,              0.0004085,              0.0004085,              0.0004085
                     71,                0.57155,                0.51827,                0.93961,                0.90997,                0.92173,                 0.9435,                0.76274,                0.68018,                0.80354,                0.92842,             0.00039613,             0.00039613,             0.00039613
                     72,                0.54872,                0.52048,                  0.943,                0.92412,                0.91589,                0.94702,                0.77025,                0.68712,                0.77124,                0.92284,             0.00038375,             0.00038375,             0.00038375
                     73,                0.54038,                0.51861,                0.92111,                0.91366,                0.93878,                 0.9501,                 0.7777,                0.72467,                0.72351,                0.96649,             0.00037138,             0.00037138,             0.00037138
                     74,                0.53423,                0.51069,                0.91201,                0.91406,                 0.9357,                0.94729,                 0.7732,                0.72204,                0.72253,                0.97762,               0.000359,               0.000359,               0.000359
                     75,                0.50605,                0.50159,                0.92228,                0.91131,                0.92822,                0.94417,                0.76923,                0.71449,                0.73875,                 0.9797,             0.00034663,             0.00034663,             0.00034663
                     76,                0.53881,                0.50969,                0.92484,                0.93087,                0.92876,                0.94578,                0.76994,                0.71271,                0.73751,                0.96546,             0.00033425,             0.00033425,             0.00033425
                     77,                0.54495,                0.51102,                0.93756,                0.93311,                0.92419,                0.94554,                0.77581,                0.70957,                 0.7429,                0.95417,             0.00032188,             0.00032188,             0.00032188
                     78,                0.54672,                0.49929,                0.93804,                 0.9353,                0.92403,                0.94953,                0.77996,                0.70512,                0.74817,                0.94884,              0.0003095,              0.0003095,              0.0003095
                     79,                0.52804,                0.50636,                0.93966,                0.93393,                0.92823,                0.94851,                0.78659,                0.69916,                0.75114,                0.94303,             0.00029713,             0.00029713,             0.00029713
                     80,                0.52448,                0.50161,                0.92751,                0.93358,                0.92832,                0.94456,                0.78164,                0.69723,                0.76706,                0.94285,             0.00028475,             0.00028475,             0.00028475
                     81,                0.53665,                0.47898,                0.91928,                0.96577,                0.89666,                0.94061,                0.77548,                0.69964,                 0.7914,                0.95579,             0.00027237,             0.00027237,             0.00027237
                     82,                0.54271,                0.50198,                0.94745,                0.96551,                0.89565,                0.94155,                0.77294,                0.69228,                0.78842,                0.95175,                0.00026,                0.00026,                0.00026
                     83,                0.51336,                0.47046,                0.90582,                0.93129,                 0.9227,                0.93801,                0.77722,                0.67297,                0.77539,                0.94318,             0.00024762,             0.00024762,             0.00024762
                     84,                 0.5126,                0.48355,                0.93222,                 0.9358,                0.92205,                0.93824,                0.78151,                0.66831,                0.76756,                0.93602,             0.00023525,             0.00023525,             0.00023525
                     85,                0.48363,                0.46482,                0.90833,                0.93102,                 0.9236,                0.93952,                0.78805,                0.66333,                0.76641,                 0.9296,             0.00022288,             0.00022288,             0.00022288
                     86,                0.52611,                0.47985,                0.92677,                0.93158,                0.92482,                0.94217,                0.78157,                0.65709,                0.75817,                0.92586,              0.0002105,              0.0002105,              0.0002105
                     87,                0.52925,                0.48497,                0.92639,                 0.9483,                0.92171,                0.94387,                 0.7808,                0.64274,                0.74117,                0.91728,             0.00019813,             0.00019813,             0.00019813
                     88,                0.48232,                0.47039,                0.93249,                0.94605,                0.92066,                0.94455,                0.78045,                 0.6394,                0.72993,                0.91532,             0.00018575,             0.00018575,             0.00018575
                     89,                  0.501,                0.48775,                0.92053,                0.93858,                0.92283,                0.94632,                0.78386,                0.64159,                0.71527,                0.91171,             0.00017338,             0.00017338,             0.00017338
                     90,                0.48239,                0.45883,                0.92758,                0.93323,                0.92662,                0.94743,                0.78317,                0.64433,                0.70877,                0.91177,               0.000161,               0.000161,               0.000161
                     91,                0.48094,                0.59826,                0.88482,                0.96174,                0.90216,                0.95755,                0.77903,                0.64688,                0.69082,                0.90816,             0.00014862,             0.00014862,             0.00014862
                     92,                0.45094,                0.55415,                0.85848,                0.95631,                0.90798,                0.94899,                0.78121,                0.64929,                0.69141,                0.90463,             0.00013625,             0.00013625,             0.00013625
                     93,                0.47876,                0.53564,                0.87999,                0.95862,                0.90879,                0.94958,                0.78044,                0.65956,                0.69845,                0.90681,             0.00012387,             0.00012387,             0.00012387
                     94,                0.47442,                0.52542,                0.86465,                0.96379,                 0.9057,                0.95099,                0.78026,                0.67606,                0.71747,                0.91463,              0.0001115,              0.0001115,              0.0001115
                     95,                 0.4564,                0.51658,                0.85671,                0.95369,                0.92877,                0.95072,                0.77901,                0.67443,                0.71945,                0.91766,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.46243,                0.51394,                0.85569,                0.95613,                  0.931,                0.94937,                0.77156,                 0.6727,                0.71866,                0.91668,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.48004,                0.51451,                0.87592,                0.95628,                 0.9304,                0.94796,                0.77406,                0.67197,                0.71991,                0.91684,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.42731,                0.47655,                0.85555,                 0.9551,                0.92914,                 0.9476,                0.77967,                0.67212,                0.72013,                0.91888,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.44517,                0.48143,                0.86068,                0.95584,                 0.9301,                0.94576,                0.77449,                0.66723,                0.71753,                0.91828,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.44392,                0.47756,                0.86454,                 0.9552,                0.93023,                0.94581,                0.77288,                0.66959,                  0.713,                0.91927,              3.725e-05,              3.725e-05,              3.725e-05
