                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.89606,                 1.2092,                 1.4805,                0.91863,                0.37353,                0.49418,                0.36431,                 1.6693,                 2.2959,                 1.5043,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.96273,                  1.157,                 1.2894,                0.91863,                0.37353,                0.49418,                0.36431,                 1.6693,                 2.2959,                 1.5043,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.97054,                 2.0034,                 1.3262,                0.91487,                0.37333,                0.49445,                0.34172,                 1.6747,                 2.2953,                 1.5104,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.82513,                 1.4758,                 1.2205,                0.91487,                0.37333,                0.49445,                0.34172,                 1.6747,                 2.2953,                 1.5104,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.74493,                 1.3001,                 1.1454,                 0.9174,                0.37341,                0.45157,                0.30226,                 1.6874,                  2.323,                 1.5205,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.47003,                 0.9605,                0.96101,                 0.9174,                0.37341,                0.45157,                0.30226,                 1.6874,                  2.323,                 1.5205,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 0.8285,                0.91368,                 1.1083,                0.91518,                0.37291,                0.45166,                0.30307,                 1.6836,                 2.3419,                 1.5132,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 0.6652,                0.77887,                  1.064,                0.91518,                0.37291,                0.45166,                0.30307,                 1.6836,                 2.3419,                 1.5132,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 0.6764,                0.90856,                   1.02,                0.91758,                0.37257,                0.45357,                0.30401,                 1.6913,                 2.3446,                 1.5203,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.59965,                 1.7306,                 1.0762,                0.91758,                0.37257,                0.45357,                0.30401,                 1.6913,                 2.3446,                 1.5203,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                   1.08,                  1.436,                 1.3394,                0.91845,                0.37258,                0.44681,                0.32764,                  1.716,                 2.3579,                 1.5401,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.91166,                0.88294,                 1.3481,                0.91845,                0.37258,                0.44681,                0.32764,                  1.716,                 2.3579,                 1.5401,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.60581,                0.77709,                  1.004,                0.94077,                0.39047,                0.45054,                0.32997,                 1.7244,                 2.4276,                 1.5327,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.76303,                 1.0725,                 1.2008,                0.94077,                0.39047,                0.45054,                0.32997,                 1.7244,                 2.4276,                 1.5327,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.80223,                 1.7996,                  1.258,                0.94153,                0.39317,                0.45663,                0.33109,                  1.727,                 2.3653,                 1.5298,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.90181,                 1.5485,                  1.259,                0.94153,                0.39317,                0.45663,                0.33109,                  1.727,                 2.3653,                 1.5298,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.86366,                0.95359,                  1.322,                0.94149,                0.39306,                0.46537,                0.33914,                   1.74,                 2.3475,                  1.536,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.73889,                 1.1736,                 1.2511,                0.94149,                0.39306,                0.46537,                0.33914,                   1.74,                 2.3475,                  1.536,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.81009,                0.95523,                 1.1606,                0.94207,                0.39325,                0.46695,                0.33958,                 1.7457,                 2.3551,                 1.5417,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.85931,                0.93061,                 1.2689,                0.94207,                0.39325,                0.46695,                0.33958,                 1.7457,                 2.3551,                 1.5417,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.65396,                0.70375,                 1.1964,                0.94207,                0.39325,                0.46695,                0.33958,                 1.7457,                 2.3551,                 1.5417,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.77481,                0.88012,                 1.2336,                0.94307,                0.39494,                0.45923,                 0.3322,                 1.7443,                 2.3532,                 1.5338,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.71549,                0.89143,                 1.0705,                0.94307,                0.39494,                0.45923,                 0.3322,                 1.7443,                 2.3532,                 1.5338,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.2416,                 1.8571,                 1.6404,                0.94307,                0.39494,                0.45923,                 0.3322,                 1.7443,                 2.3532,                 1.5338,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0399,                 1.5844,                 1.3729,                0.94454,                0.39677,                0.42654,                0.30169,                 1.7338,                 2.3535,                 1.5185,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.85727,                 1.5468,                 1.2978,                0.94454,                0.39677,                0.42654,                0.30169,                 1.7338,                 2.3535,                 1.5185,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.74086,                0.80397,                 1.1668,                0.94454,                0.39677,                0.42654,                0.30169,                 1.7338,                 2.3535,                 1.5185,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.98534,                0.86429,                 1.4924,                 0.9424,                0.39744,                0.42831,                0.31943,                 1.7845,                 2.3772,                  1.546,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 0.6427,                0.75345,                 1.0996,                 0.9424,                0.39744,                0.42831,                0.31943,                 1.7845,                 2.3772,                  1.546,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.72619,                0.95343,                 1.0666,                 0.9424,                0.39744,                0.42831,                0.31943,                 1.7845,                 2.3772,                  1.546,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.80091,                0.90366,                 1.1756,                0.94297,                0.39767,                0.42873,                0.32109,                 1.7799,                 2.3852,                 1.5354,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.66252,                0.73579,                 1.0947,                0.94297,                0.39767,                0.42873,                0.32109,                 1.7799,                 2.3852,                 1.5354,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.59684,                0.89768,                 1.1917,                0.94297,                0.39767,                0.42873,                0.32109,                 1.7799,                 2.3852,                 1.5354,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.70156,                 1.1498,                  1.103,                0.94196,                0.39959,                0.42666,                0.31685,                 1.8089,                 2.4224,                 1.5531,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.76938,                 1.1345,                 1.1136,                0.94196,                0.39959,                0.42666,                0.31685,                 1.8089,                 2.4224,                 1.5531,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.0289,                 2.0469,                 1.4308,                0.94196,                0.39959,                0.42666,                0.31685,                 1.8089,                 2.4224,                 1.5531,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.61295,                 1.0957,                 1.1208,                0.94202,                0.39858,                0.42797,                0.31738,                 1.7927,                 2.3842,                 1.5351,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.97389,                 1.0087,                 1.4354,                0.94202,                0.39858,                0.42797,                0.31738,                 1.7927,                 2.3842,                 1.5351,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0433,                 1.4511,                 1.4027,                0.94202,                0.39858,                0.42797,                0.31738,                 1.7927,                 2.3842,                 1.5351,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.63938,                0.69101,                 1.0837,                0.94389,                0.39942,                0.42884,                0.31762,                 1.7944,                 2.3794,                 1.5387,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.75094,                 1.0534,                 1.0973,                0.94389,                0.39942,                0.42884,                0.31762,                 1.7944,                 2.3794,                 1.5387,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.71951,                0.70379,                 1.1931,                0.94389,                0.39942,                0.42884,                0.31762,                 1.7944,                 2.3794,                 1.5387,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.73197,                0.59704,                 1.1459,                0.94314,                    0.4,                0.42969,                 0.3048,                 1.8114,                 2.3817,                 1.5629,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.61111,                 1.0077,                 1.1406,                0.94314,                    0.4,                0.42969,                 0.3048,                 1.8114,                 2.3817,                 1.5629,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.67549,                0.70069,                 1.1273,                0.94314,                    0.4,                0.42969,                 0.3048,                 1.8114,                 2.3817,                 1.5629,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 0.8922,                 1.2095,                 1.2107,                0.94152,                0.39896,                0.43054,                0.30492,                 1.8201,                 2.3714,                 1.5638,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.57151,                0.76535,                 1.1051,                0.94152,                0.39896,                0.43054,                0.30492,                 1.8201,                 2.3714,                 1.5638,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.63871,                0.82064,                 1.0968,                0.94152,                0.39896,                0.43054,                0.30492,                 1.8201,                 2.3714,                 1.5638,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 0.5286,                0.48961,                0.99233,                0.94028,                0.39985,                0.43127,                0.30064,                 1.8456,                 2.3989,                 1.5849,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.75358,                0.72597,                 1.1463,                0.94028,                0.39985,                0.43127,                0.30064,                 1.8456,                 2.3989,                 1.5849,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.79801,                0.89033,                 1.2039,                0.94028,                0.39985,                0.43127,                0.30064,                 1.8456,                 2.3989,                 1.5849,             1.8365e-05,             1.8365e-05,             1.8365e-05
